"field_name","field_label","field_choice"
"fhx_ss_fath_prob_alc","father alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patgf_prob_alc","paternal grandfather alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patgm_prob_alc","paternal grandmother alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_moth_prob_alc","mother alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matgf_prob_alc","maternal grandfather alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matgm_prob_alc","maternal grandmother alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patunc1_prob_alc","paternal uncle 1 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patunc2_prob_alc","paternal uncle 2 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patunc3_prob_alc","paternal uncle 3 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patunc4_prob_alc","paternal uncle 4 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patunc5_prob_alc","paternal uncle 5 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patant1_prob_alc","paternal aunt 1 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patant2_prob_alc","paternal aunt 2 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patant3_prob_alc","paternal aunt 3 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patant4_prob_alc","paternal aunt 4 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patant5_prob_alc","paternal aunt 5 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matunc1_prob_alc","maternal uncle 1 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matunc2_prob_alc","maternal uncle 2 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matunc3_prob_alc","maternal uncle 3 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matunc4_prob_alc","maternal uncle 4 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matunc5_prob_alc","maternal uncle 5 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matant1_prob_alc","maternal aunt 1 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matant2_prob_alc","maternal aunt 2 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matant3_prob_alc","maternal aunt 3 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matant4_prob_alc","maternal aunt 4 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matant5_prob_alc","maternal aunt 5 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsiby1_prob_alc","full sibling younger 1 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsiby2_prob_alc","full sibling younger 2 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsiby3_prob_alc","full sibling younger 3 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsiby4_prob_alc","full sibling younger 4 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsiby5_prob_alc","full sibling younger 5 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsibo1_prob_alc","full sibling older 1 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsibo2_prob_alc","full sibling older 2 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsibo3_prob_alc","full sibling older 3 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsibo4_prob_alc","full sibling older 4 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsibo5_prob_alc","full sibling older 5 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsiby1_prob_alc","half sibling younger 1 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsiby2_prob_alc","half sibling younger 2 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsiby3_prob_alc","half sibling younger 3 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsiby4_prob_alc","half sibling younger 4 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsiby5_prob_alc","half sibling younger 5 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsibo1_prob_alc","half sibling older 1 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsibo2_prob_alc","half sibling older 2 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsibo3_prob_alc","half sibling older 3 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsibo4_prob_alc","half sibling older 4 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsibo5_prob_alc","half sibling older 5 alcohol problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_momdad_alc","Either parents with alcohol problem","0, no | 1, yes"
"fhx_ss_parent_alc","Overall parents alcohol problem","0, none | 1, father only | 2, mother only | 3, both | -1, father missing (mother positive) | -2, mother missing (father positive)"
