"field_name","field_label","field_choice"
"fhx_ss_fath_prob_drugs","father drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patgf_prob_drugs","paternal grandfather drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patgm_prob_drugs","paternal grandmother drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_moth_prob_drugs","mother drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matgf_prob_drugs","maternal grandfather drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matgm_prob_drugs","maternal grandmother drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patunc1_prob_drugs","paternal uncle 1 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patunc2_prob_drugs","paternal uncle 2 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patunc3_prob_drugs","paternal uncle 3 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patunc4_prob_drugs","paternal uncle 4 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patunc5_prob_drugs","paternal uncle 5 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patant1_prob_drugs","paternal aunt 1 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patant2_prob_drugs","paternal aunt 2 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patant3_prob_drugs","paternal aunt 3 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patant4_prob_drugs","paternal aunt 4 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_patant5_prob_drugs","paternal aunt 5 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matunc1_prob_drugs","maternal uncle 1 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matunc2_prob_drugs","maternal uncle 2 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matunc3_prob_drugs","maternal uncle 3 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matunc4_prob_drugs","maternal uncle 4 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matunc5_prob_drugs","maternal uncle 5 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matant1_prob_drugs","maternal aunt 1 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matant2_prob_drugs","maternal aunt 2 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matant3_prob_drugs","maternal aunt 3 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matant4_prob_drugs","maternal aunt 4 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_matant5_prob_drugs","maternal aunt 5 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsiby1_prob_drugs","full sibling younger 1 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsiby2_prob_drugs","full sibling younger 2 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsiby3_prob_drugs","full sibling younger 3 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsiby4_prob_drugs","full sibling younger 4 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsiby5_prob_drugs","full sibling younger 5 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsibo1_prob_drugs","full sibling older 1 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsibo2_prob_drugs","full sibling older 2 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsibo3_prob_drugs","full sibling older 3 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsibo4_prob_drugs","full sibling older 4 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_fulsibo5_prob_drugs","full sibling older 5 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsiby1_prob_drugs","half sibling younger 1 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsiby2_prob_drugs","half sibling younger 2 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsiby3_prob_drugs","half sibling younger 3 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsiby4_prob_drugs","half sibling younger 4 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsiby5_prob_drugs","half sibling younger 5 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsibo1_prob_drugs","half sibling older 1 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsibo2_prob_drugs","half sibling older 2 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsibo3_prob_drugs","half sibling older 3 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsibo4_prob_drugs","half sibling older 4 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_hlfsibo5_prob_drugs","half sibling older 5 drug use problem","0, no problem endorsed | 1, problem endorsed"
"fhx_ss_momdad_drugs","Either parents with drug use problem","0, no | 1, yes"
"fhx_ss_parent_drugs","Overall parents drug use problem","0, none | 1, father only | 2, mother only | 3, both | -1, father missing (mother positive) | -2, mother missing (father positive)"
